[4, 0];[1, 20.25022768500341];[6, 244.98732643328714];[11, 250.68659970479786];[13, 257.79338775489305];[12, 265.4770157509322];[5, 2388.0124083828887];[8, 722393.2670686882];[15, 1442399.0546422522];[3, 2162404.3143458255];[2, 2882410.8000825373];[18, 3602416.016502182];[16, 4322422.638572609];[0, 5042427.893232915];[14, 5762433.121008016];[9, 6482439.6281247195];[10, 7202445.363951511];[17, 7922472.647478062];[7, 8642490.664560854],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[5, 543.2785229831745];[0, 548.79973050649];[15, 554.5632396837365];[3, 560.8229432569992];[16, 566.8946029884024];[14, 572.3641733897375];[6, 578.2238379174671];[8, 584.739485734872];[7, 605.2606932581875],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[5, 530.8395911681431];[0, 536.3607986914586];[9, 543.0956898685477];[10, 548.8315166594587];[14, 555.7201963964729];[15, 561.5093238120573];[3, 566.7690273853201];[16, 572.8406871167233];[8, 579.4318550520052];[6, 584.9475028694101];[7, 605.0993529371252],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[5, 530.8395911681431];[0, 536.3607986914586];[9, 543.0956898685477];[10, 548.8315166594587];[14, 555.7201963964729];[16, 561.189766797808];[15, 567.1028422777507];[3, 572.3625458510135];[8, 579.3994160974331];[6, 584.915063914838];[7, 605.0669139825532],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[16, 542.9954831114279];[15, 548.9085585913706];[6, 554.2153276751444];[5, 559.8645866083012];[0, 565.3857941316168];[14, 570.6135692331895];[3, 576.4464118296338];[8, 583.4832820760535];[7, 605.004489599369],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[0, 542.7641870911389];[5, 548.2853946144544];[6, 553.9346535476112];[15, 559.241422631385];[3, 565.5011262046478];[14, 571.333968801092];[16, 576.8035392024271];[8, 583.394707137709];[7, 604.9159146610245],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[5, 530.8395911681431];[0, 536.3607986914586];[9, 543.0956898685477];[10, 548.8315166594587];[15, 554.9651285220783];[16, 560.878204002021];[14, 566.3477744033561];[3, 572.1806169998003];[8, 579.21748724622];[6, 584.7331350636249];[7, 604.88498513134],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[0, 542.7641870911389];[16, 548.0188473964881];[5, 553.3719192132913];[6, 559.0211781464482];[15, 564.327947230222];[3, 569.5876508034847];[14, 575.420493399929];[8, 582.3335688798717];[7, 604.8547764031872],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[16, 542.9954831114279];[0, 548.2501434167772];[15, 554.0136525940236];[3, 560.2733561672864];[14, 566.1061987637306];[5, 571.8525267849728];[8, 578.1071870903221];[6, 583.622834907727];[7, 604.7746849754421],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[0, 542.7641870911389];[15, 548.5276962683853];[5, 554.3861865050615];[16, 559.7392583218647];[14, 565.2088287231998];[3, 571.041671319644];[8, 578.0785415660637];[6, 583.5941893834686];[7, 604.7460394511837],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[0, 542.7641870911389];[16, 548.0188473964881];[15, 553.9319228764308];[3, 560.1916264496936];[14, 566.0244690461378];[5, 571.77079706738];[8, 578.0254573727293];[6, 583.5411051901342];[7, 604.6929552578493],
[17, 0];[1, 21.083549221348985];[11, 125.29627191089759];[4, 218.5797267874307];[13, 267.745943809446];[12, 277.4295718054851];[2, 324.73899118726877];[18, 523.9554108316544];[10, 530.2934691231388];[9, 536.0292959140498];[0, 542.7641870911389];[16, 548.0188473964881];[5, 553.3719192132913];[15, 559.2304094499675];[14, 565.0195368655519];[3, 570.8523794619962];[8, 577.8892497084158];[6, 583.4048975258207];[7, 604.5567475935359],
